iter	Passed	Remaining
0	91	91796
1	131	65599
2	170	56662
3	211	52721
4	250	49842
5	289	48026
6	328	46656
7	366	45447
8	407	44916
9	446	44160
10	486	43744
11	528	43523
12	568	43153
13	611	43067
14	650	42698
15	687	42268
16	726	42026
17	762	41624
18	798	41239
19	838	41089
20	876	40879
21	917	40770
22	956	40628
23	994	40425
24	1035	40398
25	1072	40164
26	1110	40031
27	1148	39884
28	1184	39651
29	1221	39498
30	1257	39296
31	1293	39124
32	1332	39043
33	1370	38927
34	1411	38929
35	1449	38804
36	1483	38622
37	1523	38580
38	1565	38569
39	1605	38534
40	1645	38497
41	1682	38370
42	1726	38420
43	1766	38391
44	1809	38405
45	1852	38411
46	1893	38390
47	1936	38416
48	1978	38401
49	2019	38374
50	2061	38359
51	2101	38317
52	2139	38220
53	2180	38204
54	2222	38188
55	2258	38065
56	2297	38001
57	2336	37953
58	2375	37879
59	2414	37834
60	2454	37781
61	2494	37742
62	2534	37689
63	2572	37627
64	2612	37575
65	2652	37537
66	2690	37470
67	2729	37415
68	2762	37278
69	2802	37238
70	2839	37159
71	2880	37130
72	2921	37100
73	2961	37058
74	2997	36966
75	3038	36942
76	3079	36912
77	3118	36860
78	3156	36794
79	3194	36733
80	3233	36683
81	3271	36628
82	3305	36516
83	3345	36479
84	3382	36407
85	3422	36376
86	3463	36342
87	3505	36332
88	3547	36307
89	3590	36307
90	3636	36320
91	3675	36271
92	3721	36295
93	3765	36288
94	3803	36229
95	3843	36191
96	3884	36157
97	3924	36123
98	3965	36094
99	4003	36031
100	4043	35992
101	4087	35981
102	4128	35950
103	4168	35912
104	4208	35871
105	4250	35851
106	4291	35814
107	4335	35807
108	4380	35805
109	4428	35826
110	4476	35854
111	4520	35840
112	4567	35849
113	4610	35828
114	4657	35842
115	4698	35802
116	4739	35766
117	4782	35744
118	4827	35740
119	4871	35722
120	4912	35686
121	4958	35686
122	5004	35685
123	5050	35678
124	5091	35641
125	5137	35635
126	5179	35604
127	5225	35600
128	5269	35576
129	5314	35567
130	5360	35559
131	5403	35530
132	5452	35545
133	5496	35520
134	5545	35533
135	5589	35509
136	5632	35479
137	5674	35447
138	5717	35417
139	5767	35429
140	5814	35424
141	5864	35435
142	5909	35414
143	5958	35419
144	6004	35407
145	6051	35394
146	6098	35386
147	6144	35371
148	6192	35370
149	6239	35355
150	6287	35351
151	6330	35317
152	6374	35290
153	6420	35273
154	6465	35245
155	6505	35194
156	6547	35157
157	6594	35141
158	6641	35127
159	6685	35099
160	6733	35091
161	6782	35083
162	6827	35059
163	6870	35023
164	6913	34987
165	6961	34972
166	7007	34955
167	7054	34938
168	7100	34915
169	7148	34902
170	7190	34861
171	7235	34832
172	7277	34790
173	7330	34797
174	7377	34779
175	7423	34753
176	7468	34724
177	7507	34667
178	7548	34620
179	7584	34552
180	7626	34510
181	7666	34455
182	7703	34394
183	7743	34342
184	7783	34289
185	7826	34250
186	7864	34191
187	7906	34150
188	7941	34078
189	7981	34026
190	8025	33992
191	8067	33952
192	8108	33905
193	8151	33867
194	8192	33821
195	8233	33774
196	8274	33726
197	8314	33678
198	8356	33636
199	8398	33593
200	8440	33550
201	8482	33509
